TOX-A	TOX-B	mGFP-A	mGFP-B
RP23-445B17.1	0	0	0	0
RP24-66C10.4	0	0	0	0
Gm25227	0	0	0	0
Gm25168	0	0	0	0
RP23-325F17.2	3	0	0	0
RP23-325F17.1	0	0	0	0
Terf1	2310	2243	1304	1638
RP23-325F17.4	0	0	1	0
Sbspon	0	0	0	0
Gm23259	0	0	0	0
RP24-178O17.1	5	8	5	8
AC162442.2	0	0	0	0
Rpl7	27098	26821	29193	30490
Rdh10	176	178	110	137
RP24-178O17.2	0	0	0	0
RP24-73D23.1	0	0	0	0
Stau2	38	34	34	47
AC167117.2	0	0	0	0
Ube2w	1740	1798	1297	1805
RP23-382H8.2	7	4	2	7
Eloc	4854	4848	3958	4781
RP23-382H8.4	0	0	0	0
RP23-382H8.5	0	0	0	0
Tmem70	4907	4581	4793	5208
Ly96	65	51	36	45
RP23-470P10.1	0	0	0	0
RP23-470P10.2	9	4	2	5
RP24-254D14.3	0	0	0	0
RP24-254D14.1	0	0	0	0
Jph1	0	0	0	0
RP23-110G23.2	0	0	0	0
Gdap1	0	0	0	0
RP24-317E22.1	0	0	0	0
RP24-317E22.2	0	0	0	0
RP23-215C21.1	0	0	0	0
Rbm6-ps1	3	4	3	16
RP23-215C21.3	7	6	9	6
Gm25166	0	0	0	0
Pi15	0	0	0	0
RP23-329F7.2	0	0	0	0
AC104917.1	0	0	0	0
Crispld1	0	0	0	1
RP23-329F7.3	0	0	0	0
RP24-571A14.1	2	0	0	0
RP24-571A14.3	0	0	0	0
RP24-571A14.4	0	0	0	0
RP24-571A14.6	0	0	0	0
RP24-571A14.2	0	0	0	0
RP24-571A14.5	0	0	0	0
Crisp4	0	0	0	0
Defb44-ps	0	0	0	0
Defb18	0	0	0	0
Defb41	0	0	0	0
RP24-108N24.2	2	1	0	2
RP24-284D7.1	0	0	0	0
Gm24075	0	0	0	0
RP23-122B3.1	0	0	0	0
RP23-122B3.2	0	0	0	0
AC098736.3	0	0	0	0
Tfap2d	0	0	0	0
AC098736.2	5	6	0	5
Tfap2b	0	0	0	0
RP24-119I6.2	0	0	0	0
RP24-119I6.4	0	0	0	0
RP24-119I6.5	33	29	20	26
Gm24633	0	0	0	0
RP24-132H2.1	0	0	0	0
Pkhd1	0	0	0	0
RP23-245C4.1	0	0	0	0
AC101789.2	0	0	0	0
AC101789.1	0	0	0	0
Gm24162	0	0	0	0
Lincmd1	0	0	0	0
Mir206	0	0	0	0
Mir133b	0	0	0	0
Il17a	0	0	0	0
Il17f	1	0	0	0
Mcm3	32957	30547	24014	26093
RP23-191A12.1	0	0	0	0
RP23-191A12.2	0	0	0	0
Gm24723	0	0	0	0
RP23-191A12.5	0	0	0	0
Paqr8	99	216	175	149
Gm24171	0	0	0	0
RP23-191A12.6	0	0	0	0
Efhc1	0	11	2	14
Tram2	109	89	158	80
RP24-278K16.1	0	0	0	0
RP23-80N7.1	0	0	0	0
Tmem14a	65	67	69	31
RP23-278E1.4	0	0	0	0
Gsta3	0	3	0	0
RP23-80N7.2	0	0	0	0
RP23-278E1.5	0	1	0	0
RP23-278E1.2	0	2	0	0
RP23-278E1.3	0	0	0	0
Khdc1a	1	13	0	1
AC115920.6	0	0	0	0
AC115920.7	0	0	0	0
Khdc1c	1	0	0	0
AC115920.8	0	0	0	0
AC115920.9	0	0	0	0
